215	Source SDK Base 2006 / Source SDK Base 2007 / Source 2007 Dedicated Server
216	Source SDK Base 2007 / Age of Chivalry / D.I.P.R.I.P. Warm Up / Smashball
217	Half-Life 2
218	Source SDK Base 2007 / Source 2007 Dedicated Server
219	Half-Life 2 (shared)
221	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
223	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
224	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
225	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
226	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
227	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
228	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One / Half-Life 2: Episode Two
229	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One
230	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One
231	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One
232	Half-Life 2: Demo / Half-Life 2 / Half-Life: Source / Half-Life 2: Lost Coast / Half-Life 2: Episode One
233	Half-Life 2: Demo / Half-Life 2
234	Half-Life 2: Demo / Half-Life 2
235	Half-Life 2 (localization)
236	Half-Life 2 Russian
241	Counter-Strike: Source Client
242	Counter-Strike: Source Content
243	Counter-Strike: Source French 
244	Counter-Strike: Source Italian
245	Counter-Strike: Source German
246	Counter-Strike: Source Spanish
247	Counter-Strike: Source Simplified Chinese
248	Counter-Strike: Source Korean
249	Counter-Strike: Source koreana
250	Counter-Strike: Source Traditional Chinese
251	Counter-Strike: Source Japanese
252	Counter-Strike: Source Russian
253	Counter-Strike: Source Thai
254	Half-Life 2
255	Half-Life 2 (Linux)
256	Source Dedicated Server
257	Half-Life 2 (dedicated, Linux)
258	Half-Life 2 (Linux)
261	Counter-Strike: Source Beta Content
262	Counter-Strike: Source Beta Content 2
263	Counter-Strike: Source Beta Engine
264	Counter-Strike: Source Beta Dedicated Server
281	Half-Life: Source
283	Half-Life: Source
284	Half-Life: Source
285	Half-Life: Source
286	Half-Life: Source
287	Half-Life: Source
288	Half-Life: Source
289	Half-Life (localization)
290	Half-Life (localization)
291	Half-Life (localization)
292	Half-Life (localization)
293	Half-Life (localization)
301	Day of Defeat: Source
303	Day of Defeat: Source (beta)
304	Day of Defeat: Source Press Review
305	Source SDK Base 2007 / Source 2007 Dedicated Server / Age of Chivalry / Age of Chivalry Dedicated Server / Synergy Dedicated Server / D.I.P.R.I.P. Warm Up / D.I.P.R.I.P. Dedicated Server / Smashball / MINERVA: Metastasis
306	Source SDK Base 2007 / Source 2007 Dedicated Server / Age of Chivalry / Age of Chivalry Dedicated Server / Synergy Dedicated Server / D.I.P.R.I.P. Warm Up / D.I.P.R.I.P. Dedicated Server / Smashball / MINERVA: Metastasis
307	Source SDK Base 2007 / Source 2007 Dedicated Server / Age of Chivalry / Age of Chivalry Dedicated Server / Synergy Dedicated Server / D.I.P.R.I.P. Warm Up / D.I.P.R.I.P. Dedicated Server / Smashball / MINERVA: Metastasis
308	Source SDK Base 2006 / Source SDK Base 2007 / MINERVA: Metastasis
309	Source SDK Base 2006 / Source SDK Base 2007 / MINERVA: Metastasis
310	Source SDK Base 2007 / Source 2007 Dedicated Server / Age of Chivalry Dedicated Server / Synergy Dedicated Server / D.I.P.R.I.P. Dedicated Server
311	Source SDK Base 2007 / Source 2007 Dedicated Server / Age of Chivalry Dedicated Server
312	Half-Life 2 (shared)
313	Source Dedicated Server
314	Half-Life 2 (shared)
315	Source SDK Base 2007 / MINERVA: Metastasis
316	Half-Life 2 (Mac)
317	Source SDK Base 2007 / MINERVA: Metastasis
319	Half-Life 2 (shared)
321	Half-Life 2: Deathmatch
322	Half-Life 2 (Linux)
341	Half-Life 2 / Half-Life 2: Lost Coast
342	Half-Life 2 / Half-Life 2: Lost Coast
343	Half-Life 2 / Half-Life 2: Lost Coast
344	Half-Life 2 / Half-Life 2: Lost Coast
345	Half-Life 2 / Half-Life 2: Lost Coast
346	Half-Life 2 / Half-Life 2: Lost Coast
347	Half-Life 2 / Half-Life 2: Lost Coast
348	Half-Life 2 / Half-Life 2: Lost Coast
349	Half-Life 2: Lost Coast (localization)
350	Half-Life 2: Lost Coast (localization)
351	F.E.A.R. 2: Project Origin Demo
352	runme.exe install stub
355	Spore
360	Half-Life Deathmatch: Source
363	Half-Life Deathmatch: Source
381	Source SDK Base 2006 / Source SDK Base 2007 / Half-Life 2 / Half-Life 2: Episode One / Half-Life 2: Episode Two / MINERVA: Metastasis
382	Half-Life 2 / Half-Life 2: Episode One / Half-Life 2: Episode Two
383	Half-Life 2 / Half-Life 2: Episode One / Half-Life 2: Episode Two
384	Half-Life 2 / Half-Life 2: Episode One / Half-Life 2: Episode Two
385	Half-Life 2 / Half-Life 2: Episode One
386	Half-Life 2 / Half-Life 2: Episode One
387	Half-Life 2 / Half-Life 2: Episode One
388	Half-Life 2 / Half-Life 2: Episode One
389	Half-Life 2 / Half-Life 2: Episode One / Half-Life 2: Episode Two
390	Half-Life 2 / Half-Life 2: Episode One
401	Portal
402	Portal / Portal: First Slice
403	Portal / Portal: First Slice
404	Portal / Portal: First Slice
405	Portal / Portal: First Slice
406	Portal / Portal: First Slice
407	Portal / Portal: First Slice
411	Portal / Portal: First Slice
421	Source SDK Base 2006 / Half-Life 2 / Half-Life 2: Episode Two
422	Source SDK Base 2006 / Half-Life 2 / Half-Life 2: Episode Two
423	Source SDK Base 2006 / Half-Life 2 / Half-Life 2: Episode Two
424	Half-Life 2 / Half-Life 2: Episode Two
425	Half-Life 2 / Half-Life 2: Episode Two
426	Half-Life 2 / Half-Life 2: Episode Two
427	Half-Life 2 / Half-Life 2: Episode Two
428 Half-Life 2 / Half-Life 2: Episode Two
429	Half-Life 2 / Half-Life 2: Episode Two
441	Team Fortress 2
442	Team Fortress 2
443	Team Fortress 2
444	Team Fortress 2
445	Team Fortress 2
446	Team Fortress 2
448	Team Fortress 2
449	Team Fortress 2
451	Team Fortress 2
452	Team Fortress 2
461	Half-Life 2 2007
481	Spacewar
501	Left 4 Dead / Left 4 Dead Dedicated Server / Left 4 Dead Authoring Tools
502	Left 4 Dead / Left 4 Dead Dedicated Server / Left 4 Dead Authoring Tools
503	Left 4 Dead / Left 4 Dead Authoring Tools
504	Left 4 Dead / Left 4 Dead Authoring Tools
505	Left 4 Dead
506	Left 4 Dead
507	Left 4 Dead
508	Left 4 Dead
509	Left 4 Dead
511	Left 4 Dead Dedicated Server
512	Left 4 Dead (dedicated)
513	Left 4 Dead Authoring Tools
515	Left 4 Dead
521	Half-Life 2
522	Team Fortress 2 Beta
523	Team Fortress 2 Beta
524	Team Fortress 2 Beta
525	Team Fortress 2 Beta
526	Team Fortress 2 Beta
527	Team Fortress 2 Beta
531	Left 4 Dead Demo / Left 4 Dead Demo Dedicated Server
532	Left 4 Dead Demo
533	Left 4 Dead Demo
534	Left 4 Dead Demo
535	Left 4 Dead Demo
536	Left 4 Dead Demo
537	Left 4 Dead Demo
538	Left 4 Dead Demo / Left 4 Dead Demo Dedicated Server
551	Left 4 Dead 2 / Left 4 Dead 2 Authoring Tools / Left 4 Dead 2 Add-on Support
552	Left 4 Dead 2 / Left 4 Dead 2 Authoring Tools / Left 4 Dead 2 Add-on Support
553	Left 4 Dead 2
555	Left 4 Dead 2
556	Left 4 Dead 2
557	Left 4 Dead 2
558	Left 4 Dead 2
559	Left 4 Dead 2
561	Source Dedicated Server
562	Source (addon installer tools)
563	Left 4 Dead 2 Authoring Tools
564	Left 4 Dead 2 Add-on Support
